Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
25,25,2019/12/16,21-311,WAS,@,DET,W (+14),1,17:01,3,4,0.75,0,1,0,1,1,1,1,1,2,0,0,0,1,0,7,5.4,-4,0.788,0.75,9.1,7.1,7.9,0,0,0,18.4,13.7,130,125,5.4,-4
49,26,2020/2/3,21-360,WAS,,GSW,L (-8),1,25:52:00,5,8,0.625,0,0,,1,2,0.5,0,8,8,0,0,0,2,1,11,7,-4,0.619,0.625,0,33,18.8,0,0,0,18.4,18.9,90,121,7,-8.3
50,27,2020/2/7,21-364,WAS,,DAL,W (+1),1,28:42:00,7,12,0.583,2,4,0.5,1,2,0.5,1,5,6,1,2,0,2,0,17,13.9,-7,0.66,0.667,4,18.2,11.4,5,3.4,0,13.4,22.9,112,117,13.9,0.8
51,28,2020/2/9,22-001,WAS,,MEM,L (-7),1,24:58:00,5,13,0.385,1,2,0.5,1,2,0.5,3,8,11,1,0,0,0,3,12,8.5,-5,0.432,0.423,9.9,28.5,18.9,7.6,0,0,0,22.3,95,97,8.5,-1.8
52,29,2020/2/11,22-003,WAS,,CHI,W (+12),1,31:48:00,7,12,0.583,0,0,,6,6,1,2,2,4,3,2,2,2,2,20,19.1,20,0.683,0.583,7,6.7,6.9,12.1,2.8,5.7,12,21.5,132,105,19.1,4.2
53,30,2020/2/12,22-004,WAS,@,NYK,W (+18),1,23:06,3,7,0.429,0,1,0,2,3,0.667,1,4,5,1,0,0,1,3,8,4.3,14,0.481,0.429,4.7,17.3,11.3,6.2,0,0,10.7,17.4,95,98,4.3,-8.9
54,31,2020/2/21,22-013,WAS,,CLE,L (-5),1,30:10:00,7,13,0.538,1,3,0.333,2,2,1,3,4,7,3,2,0,0,2,17,17.3,-8,0.612,0.577,8.8,15.9,11.8,16,3.1,0,0,17.4,142,109,17.3,7.5
55,32,2020/2/23,22-015,WAS,@,CHI,L (-9),1,28:30:00,4,8,0.5,0,1,0,2,2,1,0,8,8,4,1,0,4,3,10,7,4,0.563,0.5,0,36.4,19,22.3,1.6,0,31.1,19.2,90,118,7,-6.4
56,33,2020/2/24,22-016,WAS,,MIL,L (-3),1,46:06:00,4,12,0.333,1,2,0.5,3,4,0.75,1,3,4,2,1,0,1,1,12,7.4,0,0.436,0.375,2.4,8.8,5.3,5.4,1,0,6.8,13.1,92,119,7.4,-4.9
57,34,2020/2/26,22-018,WAS,,BRK,W (+4),1,26:59:00,6,10,0.6,2,2,1,3,5,0.6,1,3,4,0,0,0,2,3,17,10,0,0.697,0.7,3.6,11.9,7.5,0,0,0,14.1,22.2,116,110,10,-0.5
58,35,2020/2/28,22-020,WAS,@,UTA,L (-10),1,32:06:00,6,10,0.6,1,2,0.5,2,2,1,4,3,7,0,3,0,1,2,15,15.3,0,0.689,0.65,11.5,10.4,11,0,4.4,0,8.4,15,138,125,15.3,1.3
59,36,2020/3/1,22-022,WAS,@,GSW,W (+14),1,29:47:00,4,8,0.5,1,2,0.5,6,7,0.857,1,7,8,1,0,0,1,1,15,12.7,12,0.677,0.563,4.1,24,15,4.8,0,0,8.3,18.2,133,110,12.7,-2.9
60,37,2020/3/3,22-024,WAS,@,SAC,L (-7),1,30:14:00,6,9,0.667,1,2,0.5,7,8,0.875,1,5,6,3,2,0,2,3,20,18.8,2,0.799,0.722,4.4,21.5,13,15.1,3,0,13.8,21.2,143,125,18.8,3.6
61,38,2020/3/4,22-025,WAS,@,POR,L (-21),1,28:31:00,4,11,0.364,0,1,0,3,4,0.75,1,3,4,4,1,0,0,2,11,9.1,-16,0.431,0.364,2.9,13.6,7.1,20.2,1.7,0,0,17.6,111,126,9.1,-2.4
62,39,2020/3/6,22-027,WAS,,ATL,W (+6),1,32:52:00,0,6,0,0,0,,3,4,0.75,4,4,8,2,1,0,1,1,3,3.4,8,0.193,0,15,16.7,15.8,8.1,1.5,0,11.4,11.9,84,116,3.4,-10.2
63,40,2020/3/8,22-029,WAS,,MIA,L (-11),1,39:33:00,0,8,0,0,2,0,0,0,,1,5,6,3,1,0,1,4,0,-2.9,-17,0,0,2.7,20.2,9.7,14,1.3,0,11.1,10.9,30,111,-2.9,-12.9
64,41,2020/3/10,22-031,WAS,,NYK,W (+7),1,28:35:00,4,6,0.667,0,1,0,4,4,1,0,7,7,2,0,2,1,1,12,12.9,1,0.773,0.667,0,32.7,16.1,11.9,0,5.6,11.4,13.4,146,112,12.9,3.6
65,42,2020/7/31,22-174,WAS,,PHO,L (-13),1,29:47:00,8,15,0.533,0,0,,5,5,1,3,5,8,1,1,0,5,2,21,13.2,-12,0.61,0.533,11.8,25.2,17.7,5.5,1.5,0,22.5,30,102,118,13.2,-2.2
66,43,2020/8/2,22-176,WAS,@,BRK,L (-8),1,32:13:00,2,6,0.333,0,0,,5,6,0.833,1,3,4,4,1,1,2,3,9,8.1,0,0.521,0.333,3.3,9.1,6.3,16.1,1.5,2.6,18.8,14.2,106,119,8.1,-3.4
67,44,2020/8/3,22-177,WAS,,IND,L (-11),1,34:04:00,4,12,0.333,0,1,0,1,2,0.5,2,5,7,6,0,0,1,3,9,6.7,-15,0.349,0.333,6.3,15.7,11,23.9,0,0,7.2,17.4,92,117,6.7,-6.6
68,45,2020/8/5,22-179,WAS,,PHI,L (-9),1,38:33:00,2,11,0.182,1,1,1,3,5,0.6,2,6,8,2,1,0,0,2,8,5.1,-4,0.303,0.227,5.7,16.6,11.2,7.4,1.2,0,0,14.9,81,109,5.1,-5.3
69,46,2020/8/7,22-181,WAS,@,NOP,L (-11),1,37:30:00,10,16,0.625,1,2,0.5,2,2,1,1,5,6,2,0,0,1,1,23,18,1,0.681,0.656,2.9,15.6,9,10.2,0,0,5.6,20.2,132,121,18,2
70,47,2020/8/9,22-183,WAS,@,OKC,L (-18),1,25:30:00,4,11,0.364,0,1,0,3,3,1,4,4,8,1,0,0,1,1,11,8.2,-9,0.446,0.364,15.7,19.3,17.3,6.2,0,0,7.5,21.5,104,127,8.2,-6.5
71,48,2020/8/11,22-185,WAS,,MIL,L (-13),1,29:13:00,6,18,0.333,3,9,0.333,5,6,0.833,2,3,5,1,0,0,2,4,20,8.8,-14,0.484,0.417,6,11.7,8.5,5.6,0,0,8.8,31.2,96,124,8.8,-6.5
5,1,2020/12/31,22-327,WAS,,CHI,L (-3),1,25:13:00,5,8,0.625,2,2,1,5,8,0.625,2,3,5,3,1,0,2,1,17,15.2,13,0.738,0.75,8.7,15.4,11.8,17.6,1.8,0,14.8,22.2,135,127,15.2,3.9
6,2,2021/1/1,22-328,WAS,@,MIN,W (+21),1,19:29,3,8,0.375,0,0,,5,6,0.833,1,3,4,2,0,0,1,3,11,7,11,0.517,0.375,6.2,16.1,11.5,11.8,0,0,8.6,25.1,112,108,7,-10.3
7,3,2021/1/3,22-330,WAS,@,BRK,W (+1),1,33:24:00,6,11,0.545,0,3,0,3,4,0.75,1,1,2,3,1,0,1,4,15,10.8,-11,0.588,0.545,2.5,3.3,2.9,12.5,1.3,0,7.3,15.7,120,117,10.8,-3.4
8,4,2021/1/6,22-333,WAS,@,PHI,L (-5),1,24:09:00,2,4,0.5,1,1,1,3,4,0.75,0,2,2,0,0,0,0,1,8,5.8,-13,0.694,0.625,0,14.7,5.7,0,0,0,0,9.4,144,134,5.8,-4
9,5,2021/1/8,22-335,WAS,@,BOS,L (-9),1,37:12:00,7,12,0.583,1,3,0.333,2,2,1,1,4,5,3,2,0,1,3,17,15.2,-16,0.66,0.625,2.9,12.3,7.4,12.1,2.5,0,7.2,16,129,110,15.2,2.6
10,6,2021/1/9,22-336,WAS,,MIA,L (-4),1,25:48:00,8,18,0.444,0,3,0,1,1,1,1,4,5,2,0,0,0,4,17,9.3,4,0.461,0.444,3.2,17.7,9.3,12.8,0,0,0,29.2,97,122,9.3,-8.6
11,7,2021/1/11,22-338,WAS,,PHO,W (+21),1,28:22:00,4,9,0.444,0,1,0,2,3,0.667,0,9,9,3,0,1,0,1,10,10,-2,0.484,0.444,0,32.4,16,12.3,0,2.8,0,15.7,118,108,10,-0.9
15,8,2021/1/29,22-356,WAS,,ATL,L (-16),1,24:05:00,3,9,0.333,1,2,0.5,2,2,1,3,2,5,1,0,0,1,4,9,4.7,-8,0.455,0.389,12.5,8.7,10.6,8,0,0,9.2,19.1,104,123,4.7,-6
16,9,2021/1/31,22-358,WAS,,BRK,W (+3),1,28:39:00,2,9,0.222,1,4,0.25,4,6,0.667,2,3,5,2,0,0,0,1,9,6,-2,0.387,0.278,6.8,14.4,10,6.4,0,0,0,15.1,104,135,6,-8.2
17,10,2021/2/2,22-360,WAS,,POR,L (-11),1,34:00:00,10,12,0.833,3,4,0.75,1,2,0.5,1,4,5,1,0,1,1,2,24,20.7,-11,0.932,0.958,3.9,12,8.5,4.4,0,2.9,7.2,18.9,160,138,20.7,4.3
